run_id,model_family,method,seed,forgetting_pct,ppl_a_after,ppl_b_after,lambada_after,rep4_after,drift_value_after,total_hours,avg_tokens_per_sec
gpt2_pilot_baseline_s0,gpt2,baseline,0,87.35289621770612,43.00245419850708,21.174832446386056,0.131,0.5810276679841897,0.342761992754788,3.0405593019444446,3044.972368366084
gpt2_rq1_baseline_s42,gpt2,baseline,42,86.95243564598353,42.86874592867944,21.17293927071149,0.217,0.6205533596837944,0.33723767453346554,3.3379807091666667,2644.3622320959985
gpt2_rq1_baseline_s123,gpt2,baseline,123,86.68232053807942,42.83585835377791,21.16976875027204,0.216,0.6324110671936759,0.3370428813479647,3.172888095,2860.959731560247
gpt2_rq2_replay25_s42,gpt2,replay25,42,7.477239412248846,24.64484926973618,22.064429543529126,0.207,0.41304347826086957,0.3613287247537328,2.9929709116666667,2996.4360158334594
gpt2_rq2_mer25_s42,gpt2,mer25,42,4.466310171377231,23.954191471580398,26.768085162026242,0.221,0.466403162055336,0.31398201205023357,3.004930397222222,2927.0767212791498
gpt2_rq2_ewc_s42,gpt2,ewc,42,33.44259710882469,30.598248462334748,22.076600079712346,0.246,0.6205533596837944,0.3362890536328752,3.1588232133333336,2799.021300299403
gpt2_rq3_bandit_replay_s42,gpt2,bandit_replay,42,7.270966194572531,24.59803375731678,22.08983185946309,0.214,0.4209486166007905,0.36591913569085044,5.7266464119444445,1148.8409730230455
gpt2_rq3_rmgs_s42,gpt2,rmgs,42,25.016868083383027,28.666990976900227,27.36201564342187,0.231,0.6521739130434783,0.3269359112038628,5.727168602222222,1151.0286334238021
qwen3_rq1_baseline_s42,qwen3,baseline,42,44.51732019387343,20.894959952564502,11.132315846982848,0.386,0.5039525691699605,0.26994476990837535,10.359233671944445,724.3152342239401
qwen3_rq1_baseline_s123,qwen3,baseline,123,44.48570719395954,20.881929617594302,11.135031614634148,0.382,0.5830039525691699,0.25851481055696585,8.727036066388889,739.4144058609872
qwen3_rq2_replay25_s42,qwen3,replay25,42,44.30256994802353,20.863504069472903,11.130616514311665,0.385,0.5098814229249011,0.2763274589530169,10.63596566388889,593.3572869878831
qwen3_rq2_mer25_s42,qwen3,mer25,42,26.45732383247227,18.2794291767679,12.413458259050682,0.41,0.5632411067193676,0.2565530389076679,9.258591248611111,686.9812000865489
qwen3_rq2_ewc_s42,qwen3,ewc,42,12.793153303607351,16.304141547762868,11.575231704952506,0.394,0.5276679841897234,0.24501099331921541,8.705889813333334,750.4695583258447
gemma3_rq1_baseline_s42,gemma3,baseline,42,45.90804461071381,15.602602287276321,10.704606805831519,0.448,0.19367588932806323,0.28255457042748905,17.03080628777778,366.5512999344231
gemma3_rq1_baseline_s123,gemma3,baseline,123,45.699065958621745,15.56386763579941,10.71340756470126,0.451,0.15810276679841898,0.2715128632727683,22.28369749611111,305.0699746917396
llama3_rq1_baseline_s42,llama3,baseline,42,46.29593395510324,14.852561238169873,9.776828094491284,0.523,0.32806324110671936,0.2806982877397899,11.851244215,523.2811849120302
llama3_rq1_baseline_s123,llama3,baseline,123,43.38508729419472,14.5512560387999,9.767194158946925,0.535,0.3814229249011858,0.27823478327686946,13.968942918055555,443.0994328329789
