Model,Rank,Method,Forgetting %,PPL_B After,LAMBADA
GPT-2 (124M),1,MER-lite,4.47%,26.77,0.221
GPT-2 (124M),2,Bandit Replay,7.27%,22.09,0.214
GPT-2 (124M),3,Replay-25%,7.48%,22.06,0.207
GPT-2 (124M),4,RMGS,25.02%,27.36,0.231
GPT-2 (124M),5,EWC,33.44%,22.08,0.246
Qwen3 (0.6B),1,Bandit Replay,10.39%,11.31,0.353
Qwen3 (0.6B),2,EWC,12.79%,11.58,0.394
Qwen3 (0.6B),3,RMGS,18.44%,13.58,0.417
Qwen3 (0.6B),4,MER-lite,26.46%,12.41,0.410
Qwen3 (0.6B),5,Replay-25%,44.30%,11.13,0.385
Gemma3 (1B),1,EWC,8.85%,10.85,0.453
Gemma3 (1B),2,RMGS,17.56%,12.47,0.474
Gemma3 (1B),3,MER-lite,23.42%,11.69,0.476
Gemma3 (1B),4,Bandit Replay,30.07%,10.87,0.462
Gemma3 (1B),5,Replay-25%,46.24%,10.70,0.458
Llama3 (1B),1,RMGS,20.78%,11.08,0.552
Llama3 (1B),2,Bandit Replay,23.06%,9.90,0.457
Llama3 (1B),3,MER-lite,24.95%,10.54,0.547
Llama3 (1B),4,EWC,45.07%,9.79,0.521
Llama3 (1B),5,Replay-25%,47.80%,9.78,0.511
